subject	relation	object	time_step	date
Mauricio Macri	Consult	Rex Tillerson	840	2018-02-05
Arsen Avakov	Sign formal agreement	Federal Bureau of Investigation	2568	2018-04-18
Singapore	Make optimistic comment	Citizen (Singapore)	2472	2018-04-14
Priest (Philippines)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Philippines)	1104	2018-02-16
Lawmaker (India)	Consult	Manohar Parrikar	1248	2018-02-22
Rumen Radev	Express intent to meet or negotiate	Russia	3360	2018-05-21
Employee (India)	Demonstrate or rally	Unspecified Actor	5064	2018-07-31
Secret Agent (Syria)	Threaten	Israel	3744	2018-06-06
Head of Government (Spain)	Make statement	Government (Spain)	5136	2018-08-03
Andrzej Duda	Make a visit	Poland	2424	2018-04-12
Criminal (France)	Make statement	Lawyer/Attorney (France)	1392	2018-02-28
Ministry (Italy)	Make statement	Government (Italy)	5712	2018-08-27
Lawyer/Attorney (South Korea)	Make statement	Hunter (South Korea)	4392	2018-07-03
Police (South Africa)	Arrest, detain, or charge with legal action	Media Personnel (South Africa)	5592	2018-08-22
Education (India)	Reduce relations	Student (India)	4824	2018-07-21
Grigory Borisovich Karasin	Consult	Foreign Affairs (Austria)	2712	2018-04-24
Media Personnel (Bulgaria)	Consult	Volen Siderov	1752	2018-03-15
Foreign Affairs (Japan)	Make a visit	Colombia	5304	2018-08-10
Nicolás Maduro	Criticize or denounce	United States	4608	2018-07-12
Armed Gang (India)	Use unconventional violence	Professor (India)	1392	2018-02-28
Finance / Economy / Commerce / Trade Ministry (United Kingdom)	Make statement	Lawmaker (United Kingdom)	2880	2018-05-01
Envoy (South Korea)	Consult	Kim Jong-Un	2376	2018-04-10
Ursula von der Leyen	Make statement	Treasury/Finance Ministry (Germany)	5544	2018-08-20
Citizen (Brazil)	Accuse	Business (Brazil)	2280	2018-04-06
Israeli Defense Forces	Use conventional military force	Syria	1032	2018-02-13
Narendra Modi	Consult	Emmanuel Macron	1416	2018-03-01
Congress (India)	Accuse	Narendra Modi	24	2018-01-02
Military (Thailand)	Provide humanitarian aid	Citizen (Thailand)	5664	2018-08-25
Kim Yong-chol	Make a visit	South Korea	4488	2018-07-07
Industry (India)	Make an appeal or request	Government (United Kingdom)	2976	2018-05-05
Angela Merkel	Criticize or denounce	Donald Trump	4440	2018-07-05
Ministry (India)	Accuse	Bharatiya Janata	288	2018-01-13
Janata Dal	Demand	Government (India)	1440	2018-03-02
Court Judge (India)	Make statement	Government (India)	4728	2018-07-17
Treasury/Finance Ministry (Japan)	Make statement	Cabinet / Council of Ministers / Advisors (Japan)	2448	2018-04-13
Separatist (Cameroon)	Use conventional military force	Citizen (Cameroon)	4800	2018-07-20
Military Personnel - Special (Morocco)	Use tactics of violent repression	Protester (Morocco)	1728	2018-03-14
Ministry (Taiwan)	Make statement	Tsai Ing-wen	5064	2018-07-31
European Parliament	Criticize or denounce	United Arab Emirates	4440	2018-07-05
Other Authorities / Officials (China)	Make an appeal or request	United States	864	2018-02-06
Shinzo Abe	Engage in negotiation	Kim Jong-Un	3840	2018-06-10
Tsvetan Tsvetanov	Consult	Bundestag	1128	2018-02-17
Police (South Korea)	Confiscate property	South Korea	2544	2018-04-17
African Union	Use conventional military force	Emmerson Mnangagwa	648	2018-01-28
Theresa May	Make statement	Vladimir Putin	1848	2018-03-19
Serzh Sargsyan	Make an appeal or request	People Associated with the Opposition (Armenia)	2640	2018-04-21
Police (Philippines)	Use conventional military force	Terrorist (Philippines)	2448	2018-04-13
Labor Union (India)	Consult	Narendra Modi	1344	2018-02-26
Abdul'aziz Abubakar Yari	Make an appeal or request	Government (Nigeria)	5040	2018-07-30
Police (South Africa)	Arrest, detain, or charge with legal action	Citizen (South Africa)	720	2018-01-31
Party President (India)	Accuse	Sushil Kumar Modi	5736	2018-08-28
Ministry (Cote d'Ivoire)	Make an appeal or request	Citizen (Cote d'Ivoire)	5352	2018-08-12
Australia	Arrest, detain, or charge with legal action	Men (Australia)	5064	2018-07-31
Military Advisor (Rwanda)	Use conventional military force	Rwanda	2568	2018-04-18
Military Personnel - Special (Somalia)	Employ aerial weapons	Somalia	3432	2018-05-24
Mevlut Cavusoglu	Express accord	Sigmar Gabriel	120	2018-01-06
Police (India)	Arrest, detain, or charge with legal action	Women (India)	2064	2018-03-28
Ministry (Benin)	Make statement	Separatist (Benin)	1656	2018-03-11
Citizen (Georgia)	Make pessimistic comment	Republic of South Ossetia	1920	2018-03-22
Vladimir Putin	Consult	Donald Trump	5592	2018-08-22
Moon Jae-in	Consult	Shavkat Mirziyayev	576	2018-01-25
Company - Owner or Operator (India)	Consult	Engineer (India)	2664	2018-04-22
Peter Pellegrini	Make optimistic comment	Cabinet / Council of Ministers / Advisors (Slovakia)	1992	2018-03-25
Kosovo	Host a visit	Dusko Markovic	888	2018-02-07
Afghanistan	Arrest, detain, or charge with legal action	Police (Afghanistan)	24	2018-01-02
Pope Francis	Make a visit	Pedro Pablo Kuczynski	408	2018-01-18
United States	Appeal for intelligence	China	2928	2018-05-03
Boris Johnson	Make a visit	Argentina	3360	2018-05-21
Russia	Host a visit	Foreign Affairs (Iran)	3216	2018-05-15
Government (India)	Express intent to provide material aid	Citizen (India)	3168	2018-05-13
Bishop (India)	Make statement	Military (India)	3792	2018-06-08
Ngozi Okonjo-Iweala	Make statement	Economist (Nigeria)	2880	2018-05-01
World Bank	Consult	International Monetary Fund	2688	2018-04-23
Israel	fight with artillery and tanks	Syria	4248	2018-06-27
Shinzo Abe	Make a visit	Middle East	2856	2018-04-30
Police (Indonesia)	Arrest, detain, or charge with legal action	Farm Worker (Indonesia)	840	2018-02-05
Stéphane Dujarric	Make statement	Peacekeeping Troop (Central African Republic)	3696	2018-06-04
Taliban	Express intent to meet or negotiate	High Peace Council	4536	2018-07-09
Qatar	Host a visit	Envoy (Israel)	5160	2018-08-04
Association of American Publishers	Make statement	Bharatiya Janata	5520	2018-08-19
Margot Wallström	Express intent to meet or negotiate	Ri Yong-ho	1752	2018-03-15
Citizen (Venezuela)	Reject	Main Opposition (United States)	1296	2018-02-24
Rights Activist (Russia)	Make an appeal or request	Emmanuel Macron	3456	2018-05-25
Human Rights Commission (India)	Make statement	Government (India)	600	2018-01-26
Mahmoud Abbas	Make statement	Donald Trump	312	2018-01-14
Israeli Defense Forces	Mobilize or increase armed forces	Israel	2280	2018-04-06
Donald Trump	Express intent to meet or negotiate	Switzerland	216	2018-01-10
Bharatiya Janata	Consult	Congress (India)	2448	2018-04-13
Military Personnel - Special (Turkey)	Use conventional military force	Militant (Turkish Kurds)	2040	2018-03-27
Legislature (Ukraine)	Engage in diplomatic cooperation	Germany	864	2018-02-06
European Union	Provide economic aid	Rodrigo Duterte	624	2018-01-27
Hamid Raja	Demand	Government (India)	2592	2018-04-19
Combatant (Turkish Kurds)	Use unconventional violence	Military (Turkey)	1368	2018-02-27
Moon Jae-in	Express intent to engage in diplomatic cooperation (such as policy support)	Shinzo Abe	2856	2018-04-30
India	Refuse to release persons or property	Bureaucrat (India)	1272	2018-02-23
Armed Gang (Taliban)	Carry out suicide bombing	Citizen (Afghanistan)	624	2018-01-27
Military (Syria)	fight with artillery and tanks	Terrorist (Syria)	4272	2018-06-28
Slovakia	Consult	Poland	768	2018-02-02
Ministry (North Korea)	Make pessimistic comment	North Korea	2568	2018-04-18
Ministry (India)	Accuse	Citizen (India)	4656	2018-07-14
Government Affiliated Bank (Argentina)	Consult	Treasury/Finance Ministry (Argentina)	4824	2018-07-21
Benjamin Netanyahu	Make a visit	Germany	3720	2018-06-05
Citizen (India)	Express intent to meet or negotiate	India	5688	2018-08-26
Iranian Parliament	Make statement	Iran	288	2018-01-13
Germany	Make a visit	Vladimir Putin	3288	2018-05-18
Japan	Host a visit	Li Keqiang	5184	2018-08-05
Manish Sisodia	Accuse	Mob (India)	1320	2018-02-25
Other Authorities / Officials (India)	Confiscate property	Citizen (India)	4776	2018-07-19
Attorney General (India)	Make statement	Government (India)	3312	2018-05-19
Government (Thailand)	Consult	Foreign Affairs (Laos)	1248	2018-02-22
Attacker (Afghanistan)	Abduct, hijack, or take hostage	Citizen (Afghanistan)	456	2018-01-20
Cabinet / Council of Ministers / Advisors (India)	Praise or endorse	Amit Shah	840	2018-02-05
Foreign Affairs (Italy)	Make statement	Italy	2544	2018-04-17
Tamil (India)	Consult	Employee (India)	1608	2018-03-09
Kim Jong-Un	Sign formal agreement	Envoy (South Korea)	1512	2018-03-05
Alan Peter Cayetano	Sign formal agreement	Sabah Khaled Al-Hamad Al-Sabah	3120	2018-05-11
Labor Union (United Kingdom)	Make statement	United Kingdom	5616	2018-08-23
Criminal (India)	Demonstrate or rally	Unspecified Actor	4320	2018-06-30
France	Make statement	European Union	4224	2018-06-26
Government (India)	Yield	Citizen (India)	2064	2018-03-28
Other Authorities / Officials (Turkey)	Criticize or denounce	North Atlantic Treaty Organization	5256	2018-08-08
Media Personnel (Romania)	Make statement	Police (Romania)	2184	2018-04-02
Citizen (Russia)	Make pessimistic comment	Other Authorities / Officials (United Kingdom)	2304	2018-04-07
Moon Jae-in	Discuss by telephone	Shinzo Abe	1848	2018-03-19
Corriere della Sera	Make statement	Education (Italy)	792	2018-02-03
Russia	Consult	Turkey	432	2018-01-19
Estonia	Host a visit	Japan	3000	2018-05-06
Citizen (Indonesia)	Yield	Cabinet / Council of Ministers / Advisors (Indonesia)	4464	2018-07-06
United States	Criticize or denounce	China	4272	2018-06-28
State Security Service	Consult	Yemi Osinbajo	3792	2018-06-08
United States	Express intent to cooperate	South Korea	1224	2018-02-21
Citizen (Turkey)	Demonstrate or rally	Unspecified Actor	480	2018-01-21
Vietnam News Agency	Engage in diplomatic cooperation	Xinhua	2736	2018-04-25
Haqqani Network	Use conventional military force	Children (Canada)	48	2018-01-03
Court Judge (Philippines)	Decline comment	Rodrigo Duterte	3264	2018-05-17
Government (Venezuela)	Make a visit	Foreign Affairs (Dominican Republic)	720	2018-01-31
K.P. Sharma Oli	Express intent to meet or negotiate	Narendra Modi	2280	2018-04-06
Narendra Modi	Discuss by telephone	Minister Patnaik	5256	2018-08-08
United States	Engage in negotiation	Iran	4920	2018-07-25
Rahul Gandhi	Make statement	Congress (India)	4728	2018-07-17
Business (Malaysia)	Bring lawsuit against	Citizen (Malaysia)	3696	2018-06-04
Githu Muigai	Make statement	Kenya	1584	2018-03-08
Russia	Employ aerial weapons	Militant (Jabhat al-Nusra)	816	2018-02-04
Verónika Mendoza	Appeal for diplomatic cooperation (such as policy support)	Citizen (Peru)	240	2018-01-11
Health Ministry (Germany)	Consult	Media (Germany)	1632	2018-03-10
Jean-Claude Juncker	Make a visit	Turkmenistan	1368	2018-02-27
Archbishop (Australia)	Appeal for change in leadership	Head of Government (Holy See (Vatican City State))	5040	2018-07-30
Citizen (Afghanistan)	Demand	Scholar (Afghanistan)	2256	2018-04-05
Russia	Make an appeal or request	Ba'ath Party	696	2018-01-30
Police (Philippines)	Make statement	Taba	3648	2018-06-02
Shinzo Abe	Consult	Kim Yong Nam	936	2018-02-09
Lawyer/Attorney (France)	Make statement	France	2376	2018-04-10
Japan	Host a visit	North Korea	3048	2018-05-08
Government (Bulgaria)	Consult	Head of Government (Togo)	3624	2018-06-01
Democratic Unionist Party	Praise or endorse	Government (United Kingdom)	3768	2018-06-07
Government (Vietnam)	Make statement	Ministry (Vietnam)	5256	2018-08-08
Bharatiya Janata	Praise or endorse	Election Commission of India	2064	2018-03-28
Lawyer/Attorney (Australia)	Demand	Citizen (Australia)	744	2018-02-01
Police (India)	Provide humanitarian aid	Children (India)	5088	2018-08-01
Hikmet Hajiyev	Make statement	Azerbaijan	4248	2018-06-27
Bharatiya Janata	Make statement	Indian Administered Kashmir	2952	2018-05-04
Police (Bangladesh)	Arrest, detain, or charge with legal action	Men (Bangladesh)	1488	2018-03-04
Police (Iran)	Arrest, detain, or charge with legal action	Citizen (Iran)	2808	2018-04-28
Morocco	Host a visit	Scott Pruitt	2904	2018-05-02
Military Personnel (India)	Praise or endorse	Military (India)	2784	2018-04-27
Military Personnel - Special (India)	Make statement	Militant (India)	1512	2018-03-05
Police (Australia)	Express intent to meet or negotiate	Australia	3408	2018-05-23
Government (Kosovo)	Praise or endorse	Aleksandar Vučić	384	2018-01-17
Government (Somalia)	Halt negotiations	Muse Bihi Abdi	2040	2018-03-27
City Mayor (Philippines)	Make statement	Sandiganbayan	3384	2018-05-22
Cuba	Praise or endorse	Nicolás Maduro	3576	2018-05-30
Government (India)	Express intent to provide economic aid	Healthcare Facility (India)	2040	2018-03-27
Frank-Walter Steinmeier	Express intent to meet or negotiate	India	1776	2018-03-16
Donald Trump	Engage in negotiation	North Korea	2088	2018-03-29
Legislature (Egypt)	Criticize or denounce	European Union	4416	2018-07-04
Kurdistan Workers' Party	Return, release person(s)	Citizen (Syria)	528	2018-01-23
Oman	Consult	Company - Owner or Operator (Qatar)	1224	2018-02-21
Quebec Liberal Party	Make an appeal or request	Representatives (Canada)	5616	2018-08-23
Ghulam Nabi Azad	Criticize or denounce	Government (India)	5304	2018-08-10
Mexico	Expel or deport individuals	Citizen (United States)	792	2018-02-03
Muhammadu Buhari	Make statement	Government (Nigeria)	720	2018-01-31
Military (Afghanistan)	Use conventional military force	Afghanistan	5328	2018-08-11
Government (Syria)	Occupy territory	Syria	2616	2018-04-20
Democratic Republic of Congo	Engage in diplomatic cooperation	Other Authorities / Officials (Democratic Republic of Congo)	4224	2018-06-26
Peru	Engage in negotiation	Head of Government (Peru)	3168	2018-05-13
Finland	Host a visit	Liu Xiaobo	4632	2018-07-13
Violeta Bulc	Express intent to meet or negotiate	Bulgaria	1776	2018-03-16
Foreign Affairs (United Kingdom)	Make statement	Ethiopia	4320	2018-06-30
China	Make an appeal or request	Japan	528	2018-01-23
Police (India)	Make statement	Education Ministry (India)	2928	2018-05-03
Head of Government (Jordan)	Make statement	Government (Jordan)	4056	2018-06-19
Government (India)	Make statement	Cabinet / Council of Ministers / Advisors (India)	3216	2018-05-15
Recep Tayyip Erdoğan	Make an appeal or request	Citizen (Turkey)	4152	2018-06-23
Cabinet / Council of Ministers / Advisors (India)	Make statement	Food, Water, and Disaster Relief (India)	5520	2018-08-19
Citizen (India)	Defy norms, law	Court Judge (India)	3648	2018-06-02
Mongolia	Engage in diplomatic cooperation	Azerbaijan	1848	2018-03-19
Member of Parliament (New Zealand)	Criticize or denounce	Barnaby Joyce	3672	2018-06-03
Nicolás Maduro	Engage in diplomatic cooperation	Caribbean	2328	2018-04-08
Department of State	Make statement	United Nations	672	2018-01-29
China	Consult	South Korea	3024	2018-05-07
Hassan Rouhani	Express intent to meet or negotiate	Azerbaijan	336	2018-01-15
Mohammad Javad Zarif	Make a visit	South Africa	3888	2018-06-12
Uong Chu Luu	Make statement	Vietnam	4464	2018-07-06
Police (Indonesia)	Accuse	Muhammad Abdi Yusuf	4008	2018-06-17
Riek Machar	Sign formal agreement	Salva Kiir	4464	2018-07-06
Citizen (Liberia)	Make an appeal or request	Student (Liberia)	5424	2018-08-15
Tran Dai Quang	Host a visit	Member of Legislative (Govt) (Australia)	4896	2018-07-24
Civic Group (Afghanistan)	Accuse	Citizen (Afghanistan)	1200	2018-02-20
Boris Johnson	Make a visit	Aung San	984	2018-02-11
Activist (Bharatiya Janata)	Criticize or denounce	Janata Dal	3432	2018-05-24
Nikki Haley	Express intent to meet or negotiate	Guatemala	1392	2018-02-28
China	Engage in negotiation	France	1344	2018-02-26
Nigel Farage	Criticize or denounce	European Commission	1680	2018-03-12
Bill Shorten	Criticize or denounce	Nigeria	1536	2018-03-06
Saudi Arabian Defence Forces	Use conventional military force	Armed Gang (Saudi Arabia)	1032	2018-02-13
Police (Pakistan)	Investigate	Citizen (Pakistan)	384	2018-01-17
Doug Ford	Reject	Citizen (Canada)	3240	2018-05-16
Police (India)	Arrest, detain, or charge with legal action	Gurpreet Singh	672	2018-01-29
Governor (South Korea)	Engage in diplomatic cooperation	Blogger (South Korea)	5472	2018-08-17
Nikos Kotzias	Express intent to meet or negotiate	Mike Pompeo	3336	2018-05-20
Narendra Modi	Make an appeal or request	India	1584	2018-03-08
Laos	Praise or endorse	Vietnam	4944	2018-07-26
Police (Portugal)	Provide aid	Mozambique	1200	2018-02-20
Police (India)	Make statement	Google	4680	2018-07-15
Uzbekistan	Express intent to meet or negotiate	Khawaja Asif	2016	2018-03-26
Russia	Consult	Elmar Mammadyarov	2448	2018-04-13
China	Express intent to cooperate	United States	552	2018-01-24
Russia	Host a visit	Government Official (Syria)	720	2018-01-31
Alexei Navalny	Make an appeal or request	Citizen (Russia)	2952	2018-05-04
Religion (Nigeria)	Appeal for change in leadership	Muhammadu Buhari	4368	2018-07-02
Head of Government (Kenya)	Make statement	Military (Kenya)	3048	2018-05-08
Police (India)	Arrest, detain, or charge with legal action	Attacker (India)	4296	2018-06-29
Non-Governmental Organizations	Investigate	Turkmenistan	2496	2018-04-15
Police (Thailand)	Accuse	Men (Thailand)	2136	2018-03-31
Bharatiya Janata	Host a visit	Bhupinder Singh Hooda	4032	2018-06-18
Legislature (Italy)	Express intent to engage in diplomatic cooperation (such as policy support)	Italy	3528	2018-05-28
Emmanuel Macron	Make statement	China	120	2018-01-06
United Nations	Host a visit	António Manuel de Oliveira Guterres	5640	2018-08-24
Tshering Tobgay	Consult	Foreign Affairs (China)	4896	2018-07-24
India	Make statement	United Kingdom	4608	2018-07-12
Juan Jiménez	Accuse	Citizen (Honduras)	4056	2018-06-19
Armenia	Consult	Russia	3216	2018-05-15
Citizen (Russia)	Engage in symbolic act	Russian Air Force	912	2018-02-08
Sukhbir Singh Badal	Consult	Party President (India)	3168	2018-05-13
Rajnath Singh	Consult	Government (India)	1200	2018-02-20
Russia	Express intent to meet or negotiate	France	1200	2018-02-20
Viorica Dăncilă	Consult	Edgars Rinkevics	4440	2018-07-05
Military (United States)	Make statement	Military (Afghanistan)	4608	2018-07-12
Military Personnel - Special (India)	Use conventional military force	Militant (India)	4560	2018-07-10
Fatmir Xhafa	Express intent to cooperate	Oliver Spasovski	840	2018-02-05
Narendra Modi	Accuse of crime, corruption	Government (India)	864	2018-02-06
Citizen (Belgium)	Express intent to meet or negotiate	Belgium	4416	2018-07-04
Abdulaziz Kamilov	Express intent to meet or negotiate	China	840	2018-02-05
Vladimir Putin	Make a visit	Turkey	2232	2018-04-04
China	Host a visit	Bill Clinton	4176	2018-06-24
Media (Japan)	Investigate	Bureaucrat (Japan)	2616	2018-04-20
Israel	Bring lawsuit against	Citizen (Israel)	3120	2018-05-11
Head of Government (United States)	Consult	Angela Merkel	2040	2018-03-27
United Kingdom	Sign formal agreement	Russia	2904	2018-05-02
Student Dissident (Bangladesh)	Protest violently, riot	Police (Bangladesh)	5208	2018-08-06
Business (Nigeria)	Deny responsibility	Military Personnel (Nigeria)	3744	2018-06-06
India	Praise or endorse	Narendra Modi	4464	2018-07-06
Saad Hariri	Express intent to meet or negotiate	Pedro Sanchez	4776	2018-07-19
Justice Department/Ministery (India)	Make statement	Government (India)	3624	2018-06-01
Russia	Use conventional military force	United States	336	2018-01-15
Citizen (Israel)	Threaten with military force	Israel	1368	2018-02-27
Foreign Affairs (United States)	Praise or endorse	Israel	2112	2018-03-30
Kim Jong-Un	Express intent to settle dispute	Mike Pompeo	3072	2018-05-09
Abdulla Yameen	Demand	Government (Maldives)	1176	2018-02-19
Chile	Investigate	Citizen (Chile)	4872	2018-07-23
Aam Aadmi Party	Accuse of crime, corruption	Bharatiya Janata	4776	2018-07-19
United States	Engage in negotiation	China	5448	2018-08-16
Oversight Court (India)	Reject	Citizen (India)	5592	2018-08-22
Sergey Viktorovich Lavrov	Express intent to meet or negotiate	Heiko Maas	3072	2018-05-09
China	Express intent to engage in diplomatic cooperation (such as policy support)	Philippines	360	2018-01-16
Legislature (Yemen)	Make statement	Saudi Arabia	3024	2018-05-07
Police (Nigeria)	Use unconventional violence	Protester (Nigeria)	2544	2018-04-17
Insurgent (Taliban)	Abduct, hijack, or take hostage	Citizen (Afghanistan)	5568	2018-08-21
Head of Government (Brazil)	Yield	Citizen (Brazil)	1848	2018-03-19
Court Judge (India)	Reject	Citizen (India)	432	2018-01-19
Senate (Australia)	Accuse	Pauline Hanson	3648	2018-06-02
Member of the Judiciary (Australia)	Arrest, detain, or charge with legal action	Men (Australia)	2088	2018-03-29
Government (India)	Make statement	Military (India)	2808	2018-04-28
Laos	Express intent to meet or negotiate	China	216	2018-01-10
European Union	Sign formal agreement	Ukraine	2568	2018-04-18
Head of Government (Slovakia)	Make a visit	South Korea	2352	2018-04-09
Police (Iran)	Arrest, detain, or charge with legal action	Citizen (Iran)	2400	2018-04-11
France	Host a visit	Nguyen Phu Trong	2184	2018-04-02
Head of Government (Russia)	Make optimistic comment	Shanghai Cooperation Organization	3792	2018-06-08
Head of Government (Cambodia)	Express intent to cooperate	Political Parties (Cambodia)	5616	2018-08-23
Member of the Judiciary (India)	Make an appeal or request	Bharatiya Janata	5496	2018-08-18
Iran	Arrest, detain, or charge with legal action	Secret Agent (United States)	816	2018-02-04
Cabinet / Council of Ministers / Advisors (Russia)	Express intent to meet or negotiate	Moldova	1776	2018-03-16
Russia	Use conventional military force	Criminal (Dagestan)	1080	2018-02-15
Russia	Criticize or denounce	United States	2328	2018-04-08
Arab League	Reduce or break diplomatic relations	Guatemala	3408	2018-05-23
Lawmaker (Russia)	Make optimistic comment	Military Police (Russia)	2448	2018-04-13
India	Make statement	Nirmala Sitharaman	2088	2018-03-29
Activist (Congo)	Demonstrate or rally	Congo	3192	2018-05-14
Activist (India)	Engage in diplomatic cooperation	Election Commission (India)	4752	2018-07-18
Member of Legislative (Govt) (India)	Make statement	Congress (India)	5112	2018-08-02
Government Official (Macedonia)	Consult	Matthew Nimetz	744	2018-02-01
Saudi Arabia	Use conventional military force	Yemen	1512	2018-03-05
Egypt	Express intent to engage in diplomatic cooperation (such as policy support)	Tunisia	3384	2018-05-22
Taro Kono	Make statement	Japan	1680	2018-03-12
China	Sign formal agreement	North Korea	3096	2018-05-10
Vodafone	Make statement	Africa	3744	2018-06-06
North Korea	Reject	Moon Jae-in	4008	2018-06-17
United States	Express intent to engage in diplomatic cooperation (such as policy support)	South Korea	2832	2018-04-29
Military Personnel (Nigeria)	Make statement	Police (Nigeria)	504	2018-01-22
Head of Government (India)	Accuse	Men (India)	3984	2018-06-16
Media Personnel (Russia)	Consult	Pavel Grudinin	1272	2018-02-23
Ethnic Group (Nigeria)	Reject	Yemi Osinbajo	552	2018-01-24
Israeli Defense Forces	Make statement	Hamas	2400	2018-04-11
Citizen (Philippines)	Make an appeal or request	International Criminal Court	5736	2018-08-28
Citizen (United States)	Accuse of crime, corruption	Citizen (South Sudan)	3912	2018-06-13
Nicolás Maduro	Express intent to meet or negotiate	Palestinian Territory, Occupied	3072	2018-05-09
Annastacia Palaszczuk	Make statement	Malcolm Bligh Turnbull	1080	2018-02-15
United States	Use conventional military force	Military (Syria)	4056	2018-06-19
Citizen (Philippines)	Engage in symbolic act	Military (Philippines)	4440	2018-07-05
Egypt	Accuse	Qatar	264	2018-01-12
Labor and Employment Ministry (Romania)	Make statement	Nurse (Romania)	1392	2018-02-28
Citizen (Australia)	Make optimistic comment	Ministry (Australia)	1536	2018-03-06
Women (India)	Make an appeal or request	Government (India)	1584	2018-03-08
United States	Express intent to meet or negotiate	Presidential Aide (Russia)	504	2018-01-22
John Key	Consult	Barack Obama	1920	2018-03-22
Refat Chubarov	Make statement	Tatar	312	2018-01-14
Winston Peters	Consult	China	3504	2018-05-27
Foreign Affairs (United States)	Consult	Benjamin Netanyahu	432	2018-01-19
China	Consult	Russia	2736	2018-04-25
Andrés Manuel López Obrador	Express intent to meet or negotiate	Representatives (Mexico)	5688	2018-08-26
Kang Kyung Wha	Engage in negotiation	Vivian Balakrishnan	1584	2018-03-08
Citizen (Romania)	Express intent to provide material aid	Lawyer/Attorney (Romania)	2112	2018-03-30
Social Democratic Party	Make statement	Head of Government (Romania)	2784	2018-04-27
Faisal Hassan Ibrahim	Engage in symbolic act	Citizen (Sudan)	3576	2018-05-30
Taliban	Use conventional military force	Attacker (Afghanistan)	3912	2018-06-13
China	Make statement	Sun Zhengcai	3048	2018-05-08
Government (Australia)	Accuse	Police (Australia)	5016	2018-07-29
Australia	Host a visit	Gavin Williamson	1008	2018-02-12
Donald Trump	Criticize or denounce	Justin Trudeau	5448	2018-08-16
Head of Government (Ukraine)	Praise or endorse	Representatives (Ukraine)	264	2018-01-12
Police (India)	Arrest, detain, or charge with legal action	Men (India)	2808	2018-04-28
Citizen (Canada)	Express intent to meet or negotiate	Canada	3768	2018-06-07
Court Judge (India)	Ease administrative sanctions	Citizen (India)	4656	2018-07-14
Children (Indonesia)	Demand	Head of Government (Indonesia)	3432	2018-05-24
Main Opposition (South Africa)	Accuse	South Africa	1416	2018-03-01
Protester (Nicaragua)	Protest violently, riot	Police (Nicaragua)	3648	2018-06-02
Member of Parliament (Georgia)	Make statement	Cabinet / Council of Ministers / Advisors (Georgia)	4608	2018-07-12
Li Keqiang	Praise or endorse	Taur Matan Ruak	4296	2018-06-29
China	Engage in diplomatic cooperation	Africa	2664	2018-04-22
Austria	Engage in diplomatic cooperation	Iran	2616	2018-04-20
United States	Impose embargo, boycott, or sanctions	Business (China)	1320	2018-02-25
Police (Nigeria)	fight with small arms and light weapons	Citizen (Nigeria)	2016	2018-03-26
Turkey	Complain officially	United States	5544	2018-08-20
Foreign Affairs (Syria)	Make statement	Turkey	744	2018-02-01
Foreign Affairs (China)	Consult	John J. Sullivan	2208	2018-04-03
Rahul Gandhi	Consult	Bharatiya Janata	264	2018-01-12
Andrej Plenkovic	Make a visit	Belgium	2928	2018-05-03
Congress (India)	Demand change in leadership	Arvind Kejriwal	432	2018-01-19
Militant (Iraq)	Use unconventional violence	Military (Iraq)	1296	2018-02-24
Arvind Kejriwal	Accuse	India	4464	2018-07-06
Nguyen Xuan Phuc	Express intent to meet or negotiate	Jacinda Ardern	1704	2018-03-13
Citizen (Iran)	Accuse	Police (Iran)	1728	2018-03-14
Police (India)	Defy norms, law	Yogi Adityanath	5112	2018-08-02
Environment Department/Ministry (Canada)	Make statement	Government (Canada)	1752	2018-03-15
Angela Merkel	Make optimistic comment	Germany	5424	2018-08-15
Russia	Express intent to cooperate	Ethiopia	1632	2018-03-10
Police (India)	Provide aid	Citizen (India)	2088	2018-03-29
Guerrilla (National Liberation Army)	Express intent to release persons or property	Citizen (Colombia)	5160	2018-08-04
Nurul Izzah Anwar	Make a visit	Prime Minister bin Ibrahim	3120	2018-05-11
Police (Mexico)	Engage in judicial cooperation	United States	3960	2018-06-15
Police (India)	Make an appeal or request	Member of the Judiciary (India)	216	2018-01-10
Urmas Reinsalu	Express intent to meet or negotiate	Kersti Kaljulaid	5472	2018-08-17
Citizen (Nigeria)	Use unconventional violence	Farm Worker (Nigeria)	96	2018-01-05
Head of Government (Vietnam)	Engage in negotiation	Shinzo Abe	3648	2018-06-02
Police (Indonesia)	Provide humanitarian aid	Citizen (Indonesia)	1056	2018-02-14
Media Personnel (India)	Make statement	Government (India)	5112	2018-08-02
United Nations	Investigate	North Korea	1392	2018-02-28
Media Personnel (Iraq)	Accuse	Citizen (Iraq)	4728	2018-07-17
Emmanuel Macron	Express intent to meet or negotiate	Xi Jinping	72	2018-01-04
Syria	Provide aid	Military (Syria)	1752	2018-03-15
Portugal	Engage in diplomatic cooperation	China	1944	2018-03-23
Member of the Judiciary (India)	Demand	Government (India)	4776	2018-07-19
Tony Blair	Make an appeal or request	Northern Ireland	2376	2018-04-10
Citizen (Canada)	Criticize or denounce	Government (Canada)	5736	2018-08-28
Combatant (Islamic State of Iraq and the Levant)	Demobilize armed forces	Other Authorities / Officials (Afghanistan)	5088	2018-08-01
